layer,acc,auc,mcc
0,0.9777777777777777,0.9940476190476191,0.9564375187500369
1,0.9777777777777777,0.996031746031746,0.9564375187500369
2,0.9777777777777777,0.996031746031746,0.9564375187500369
3,0.9777777777777777,0.996031746031746,0.9564375187500369
4,0.9777777777777777,0.9861111111111112,0.9564375187500369
5,0.9777777777777777,0.9821428571428571,0.9564375187500369
6,0.9777777777777777,0.9841269841269842,0.9564375187500369
7,0.9777777777777777,0.9742063492063492,0.9564375187500369
8,0.9777777777777777,0.9742063492063492,0.9564375187500369
9,0.9777777777777777,0.9801587301587302,0.9564375187500369
10,0.9777777777777777,0.9742063492063492,0.9564375187500369
11,0.9777777777777777,0.9742063492063492,0.9564375187500369
12,0.9777777777777777,0.990079365079365,0.9564375187500369
